name,address,city,state,postal_code,user_id,datetime
"Acushnet Market","186 Leonard Street","Acushnet","MA","02743","2","Saturday"
"Plymouth Market","137 Warren Ave","Plymouth","MA","02360","3","Thursday"
"Easton Market","524 Depot Street","Easton","MA","02375","4","Saturday"
